165|USB transfer stopped. Check the data cable, USB permission and free space. Completed files are kept.|توقف نقل USB. تحقق من كابل البيانات وإذن USB والمساحة المتاحة. تبقى الملفات المكتملة محفوظة.
166|Timed out. Connect both phones to the same Wi-Fi and scan a new QR code.|انتهت المهلة. صل الهاتفين بشبكة Wi-Fi نفسها وامسح QR جديدًا.
167|Could not connect. Use the same Wi-Fi, or connect one phone to the other's hotspot. Turn off VPN and scan a new QR code.|تعذر الاتصال. استخدم شبكة Wi-Fi نفسها أو اتصل بنقطة اتصال الهاتف الآخر. أوقف VPN وامسح QR جديدًا.
168|The pairing code is old or incorrect. Generate a new QR code on the new phone.|رمز الاقتران قديم أو غير صحيح. أنشئ رمز QR جديدًا على الهاتف الجديد.
169|Connection lost. Keep both apps open and tap Resume interrupted transfer.|انقطع الاتصال. أبقِ التطبيقين مفتوحين واضغط على استئناف النقل المنقطع.
170|Transfer stopped. Check free space, file permissions and Wi-Fi. Completed files are kept.|توقف النقل. تحقق من المساحة وإذن الملفات وWi-Fi. تبقى الملفات المكتملة محفوظة.
171|Stopping…|جارٍ الإيقاف…
172|Connection lost; trying to resume…|انقطع الاتصال؛ جارٍ محاولة الاستئناف…
173|Waiting for approval on the new phone…|بانتظار الموافقة على الهاتف الجديد…
174|Wi-Fi required|يلزم اتصال Wi-Fi
175|Connect to Wi-Fi or enable the hotspot, then tap Show QR again.|اتصل بشبكة Wi-Fi أو شغّل نقطة الاتصال، ثم اضغط على عرض QR مجددًا.
176|Preparing QR code|جارٍ تجهيز رمز QR
177|Connection lost; waiting to resume…|انقطع الاتصال؛ بانتظار الاستئناف…
178| files\n| ملفات\n
179| + files with unknown size| + ملفات بحجم غير معروف
180|\nReceive this data on this phone?|\nهل تريد استقبال هذه البيانات على هذا الهاتف؟
181|\n\nApp installation starts after receiving. You approve the Android Install prompt.|\n\nيبدأ تثبيت التطبيقات بعد الاستقبال. أنت توافق على نافذة التثبيت من أندرويد.
182|Old phone connected|اتصل الهاتف القديم
183|Receive|استقبال
184|Decline|رفض
185|Enable Wi-Fi and the required settings to start.|شغّل Wi-Fi والإعدادات المطلوبة للبدء.
186|Preparing files|جارٍ تجهيز الملفات
187|Could not read file|تعذرت قراءة الملف
188|Stop this operation?|هل تريد إيقاف هذه العملية؟
189|Yes|نعم
190|No|لا
191|Two phones transferring data|هاتفان لنقل البيانات
192|USB permission denied.|لم يُمنح إذن USB.
193|The new phone does not support USB Host/OTG.|الهاتف الجديد لا يدعم USB Host/OTG.
194|No USB device found. Use a data cable and select USB controlled by / This device on the new phone, or enable OTG.|لم يُعثر على جهاز USB. استخدم كابل بيانات واختر التحكم في USB / هذا الجهاز على الهاتف الجديد، أو شغّل OTG.
195|USB setup failed: |فشل إعداد USB: 
196|USB Accessory is unsupported or permission was denied. Try USB controlled by / This device on the new phone.|USB Accessory غير مدعوم أو لم يُمنح الإذن. جرّب التحكم في USB / هذا الجهاز على الهاتف الجديد.
197|Approve Install / Update in the Android prompt.|وافق على تثبيت / تحديث في نافذة أندرويد.
198|Install request unavailable.|طلب التثبيت غير متاح.
199|Installed|تم التثبيت
200|Continue / Retry|متابعة / إعادة المحاولة
201|Skip this app|تخطي هذا التطبيق
202|Skipped at your request|تم التخطي بناءً على طلبك
203|Installation files only; app accounts and private data are not transferred. Some apps may be incompatible with the new phone.|ملفات التثبيت فقط؛ لا تُنقل حسابات التطبيقات أو بياناتها الخاصة. قد لا تتوافق بعض التطبيقات مع الهاتف الجديد.
204|Installation paused. Tap Continue to resume.|توقف التثبيت. اضغط على متابعة للاستئناف.
205|Installation list finished.|انتهت قائمة التثبيت.
206| apps installed • | تطبيقات مثبّتة • 
207| apps skipped| تطبيقات تم تخطيها
208|Could not open the Install prompt.|تعذر فتح نافذة التثبيت.
209|Enable Allow from this source for rebaritclone, then come back.|فعّل السماح من هذا المصدر لتطبيق rebaritclone، ثم ارجع.
210|Could not open installation settings.|تعذر فتح إعدادات التثبيت.
211|Preparing app for installation…|جارٍ تجهيز التطبيق للتثبيت…
212|App could not be installed: |تعذر تثبيت التطبيق: 
213|Install permission denied. You can retry later.|لم يُمنح إذن التثبيت. يمكنك المحاولة لاحقًا.
214|Installation cancelled.|أُلغي التثبيت.
215|Not enough free space.|مساحة التخزين غير كافية.
216|The app conflicts with the installed version. No app will be uninstalled automatically.|يتعارض التطبيق مع الإصدار المثبّت. لن يُحذف أي تطبيق تلقائيًا.
217|This app is incompatible with this Android version or phone.|هذا التطبيق غير متوافق مع إصدار أندرويد أو هذا الهاتف.
218|Android blocked installation.|حظر أندرويد التثبيت.
219|Installation failed.|فشل التثبيت.
220|Stop installation? Received files will be kept.|هل تريد إيقاف التثبيت؟ ستبقى الملفات المستلمة محفوظة.
221|Point the camera at the new phone's QR code|وجّه الكاميرا إلى رمز QR على الهاتف الجديد
222|The camera is used only to scan QR codes|تُستخدم الكاميرا لمسح رموز QR فقط
223|Could not open camera. Go back and choose a QR image.|تعذر فتح الكاميرا. ارجع واختر صورة QR.
224|Local hotspot • Android did not report the band|نقطة اتصال محلية • لم يحدد أندرويد النطاق
225|Band information for this connection is unavailable|معلومات نطاق هذا الاتصال غير متاحة
226|2.4 GHz band. Try 5 GHz for higher speed.|نطاق 2.4 GHz. جرّب 5 GHz لسرعة أعلى.
227|Link speed is not the actual file transfer speed.|سرعة الارتباط ليست سرعة نقل الملفات الفعلية.
228|Wi-Fi band information unavailable|معلومات نطاق Wi-Fi غير متاحة
229|Recent calls|سجل المكالمات
230|SMS messages|رسائل SMS
231|Transfers a backup file only; it is not restored into Phone or Messages. WhatsApp, RCS and MMS are not included.|يُنقل ملف نسخة احتياطية فقط؛ ولا يُستعاد داخل الهاتف أو الرسائل. لا يشمل واتساب أو RCS أو MMS.
232|Select individual contacts — VCF|حدد جهات الاتصال — VCF
233|One tap: select all available calls — backup file|ضغطة واحدة: تحديد كل المكالمات المتاحة — ملف نسخ احتياطي
234|One tap: select all available SMS — backup|نقرة واحدة: تحديد كل الرسائل المتاحة — نسخة احتياطية
235|Read permission was not granted. Android or the app installer may restrict SMS and call-log access. You can select an existing backup through Files.|لم يُمنح إذن القراءة. قد يقيّد أندرويد أو مثبّت التطبيق الوصول إلى الرسائل وسجل المكالمات. يمكنك اختيار نسخة احتياطية موجودة من الملفات.
236|Search name, number or text|البحث بالاسم أو الرقم أو النص
237|Select all shown|تحديد كل النتائج المعروضة
238| selected| محدد
239|Showing at most 5,000 records. Calls and SMS show the most recent records.|تُعرض 5,000 سجلات كحد أقصى. للمكالمات والرسائل، تُعرض أحدث السجلات.
240|Incoming|واردة
241|Outgoing|صادرة
242|Missed|فائتة
243|Other|أخرى
244|Some records could not be read, changed, or storage is insufficient. Your previous selection was kept; retry.|تعذرت قراءة بعض السجلات أو تغيرت أو المساحة غير كافية. احتُفظ باختيارك السابق؛ أعد المحاولة.
245|Clear selection|إلغاء تحديد الكل
246|App permissions|أذونات التطبيق
247|Android prompts appear one at a time. Tap Allow for the features you want to use.|تظهر طلبات أندرويد بالتتابع. اضغط سماح للميزات التي تريد استخدامها.
248|For all photos, choose Allow all. Choose documents in the system file picker; protected system files are unavailable. Allow dialogs do not need Display over other apps.|لكل الصور اختر السماح بالكل. اختر المستندات من منتقي ملفات النظام؛ ملفات النظام المحمية غير متاحة. نوافذ السماح لا تحتاج إذن الظهور فوق التطبيقات.
249|Some permissions are missing or only selected photos are allowed. Continue with available features or change app settings. Android may restrict SMS and call-log access.|بعض الأذونات غير ممنوحة أو يسمح بصور محددة فقط. تابع بالميزات المتاحة أو غيّر إعدادات التطبيق. قد يقيّد أندرويد الوصول إلى الرسائل وسجل المكالمات.
250|Open app settings|فتح إعدادات التطبيق
251|File transfers|نقل الملفات
252|Wi-Fi Direct stayed busy; automatically tried the normal hotspot route. 5 GHz is not guaranteed.|بقي Wi-Fi Direct مشغولاً؛ جُرّبت نقطة الاتصال العادية تلقائياً. نطاق 5 GHz غير مضمون.
253|Photos transferred: |الصور المنقولة: 
254|Videos transferred: |الفيديوهات المنقولة: 
255|Transfer duration (hh:mm:ss): |مدة النقل (ساعة:دقيقة:ثانية): 
256|Show files|عرض الملفات
257|No suitable app is available to open this file, or access was denied. The file is saved in the receive location.|لا يتوفر تطبيق مناسب لفتح هذا الملف أو تم رفض الوصول. الملف محفوظ في موقع الاستلام.
258|Offline • Phone to phone|بدون إنترنت • من هاتف إلى هاتف
259|Transfer your data with ease|انقل بياناتك بسهولة
260|Move data from your old phone to your new phone|انقل بياناتك من هاتفك القديم إلى الجديد
261|File transfer|نقل الملفات
262|Options|الخيارات
263|Choose photos, videos, audio, apps and files to send|اختر الصور والفيديو والصوت والتطبيقات والملفات لإرسالها
264|Phone to phone|من هاتف إلى هاتف
265|Photos and videos|الصور والفيديوهات
266|All items|كل العناصر
267|Showing up to 10,000 files.|يتم عرض ما يصل إلى 10000 ملف.
268|Offline|بدون إنترنت
269|Select|اختيار
270|Connect|اتصال
271|Transfer|نقل
272|Selected|محدد
273|Connect both phones with a USB-C data cable.|صل الهاتفين بكابل USB-C لنقل البيانات.
274|1  Use a data cable; a charge-only cable will not work.|١  استخدم كابل بيانات؛ كابل الشحن فقط لا يكفي.
275|2  Choose Send via USB-C on the old phone; select data after connecting.|٢  اختر الإرسال عبر USB-C على الهاتف القديم؛ حدد البيانات بعد الاتصال.
276|3  Start here and accept the USB permission requests.|٣  اضغط ابدأ هنا ووافق على طلبات إذن USB.
277|Start USB receiving|بدء الاستقبال عبر USB
278|Connect to the new phone first, then select your data.|اتصل بالهاتف الجديد أولاً، ثم اختر بياناتك.
279|Connected|تم الاتصال
280|Select data on the old phone and start sending.|اختر البيانات على الهاتف القديم وابدأ الإرسال.
281|Data is ready to receive|البيانات جاهزة للاستقبال
282|The old phone is connected|الهاتف القديم متصل
283|more files|ملفات أخرى
284|Photos and videos|الصور والفيديو
285|Files, APKs and audio|الملفات وAPK والصوت
286|Contacts and messages|جهات الاتصال والرسائل
287|This phone supports Wi-Fi 6/6E; Wi-Fi Direct automatically chooses the strongest permitted band.|يدعم الهاتف Wi-Fi 6/6E؛ يختار Wi-Fi Direct تلقائياً أقوى نطاق مسموح.
288|This phone supports 5 GHz; Wi-Fi Direct automatically chooses an available band.|يدعم الهاتف 5 GHz؛ يختار Wi-Fi Direct تلقائياً نطاقاً متاحاً.
289|No fast Wi-Fi band is reported; the system uses an available band.|لا يظهر دعم لنطاق Wi-Fi سريع؛ يستخدم النظام نطاقاً متاحاً.
290|Download app|تنزيل التطبيق
291|Scan the QR code or open the link. All versions and the newest APK are available on the same page.|امسح رمز QR أو افتح الرابط. جميع الإصدارات وأحدث APK متاحة في الصفحة نفسها.
292|rebaritclone download QR code|رمز QR لتنزيل rebaritclone
293|Open download page|فتح صفحة التنزيل
294|Copy link|نسخ الرابط
295|Current version: |الإصدار الحالي: 
296|Download link copied.|تم نسخ رابط التنزيل.
297|Could not open the download page.|تعذر فتح صفحة التنزيل.
298|New update available|يتوفر تحديث جديد
299|Improvements and performance enhancements.|تحسينات وتعزيزات للأداء.
300|New version: |الإصدار الجديد: 
301|Download update|تنزيل التحديث
302|Later|لاحقاً
303|Search local files|بحث في الملفات المحلية
304|Documents|المستندات
305|APK files|ملفات APK
306|Other files|ملفات أخرى
307|Downloads|التنزيلات
308|Selected: |المحدد: 
309|Send selected files|إرسال الملفات المحددة
310|Share app via Bluetooth or another app|مشاركة التطبيق عبر البلوتوث أو تطبيق آخر
311|Could not open the app sharing menu.|تعذر فتح قائمة مشاركة التطبيق.
